#xi phi g4
-8.000000 3.125885 0.999753
-8.000000 3.141593 1.000000
-8.000000 3.157301 0.999753
-8.000000 3.173009 0.999014
-8.000000 3.188717 0.997786
-8.000000 3.204425 0.996073
-8.000000 3.220132 0.993882
-8.000000 3.235840 0.991222
-8.000000 3.251548 0.988103
-8.000000 3.267256 0.984538
-8.000000 3.282964 0.980541
-8.000000 3.298672 0.976127
-8.000000 3.314380 0.971314
-8.000000 3.330088 0.966121
-8.000000 3.345796 0.960568
-8.000000 3.361504 0.954678
-8.000000 3.377212 0.948473
-8.000000 3.392920 0.941978
-8.000000 3.408628 0.935219
-8.000000 3.424336 0.928222
-8.000000 3.440044 0.921016
-8.000000 3.455752 0.913627
-8.000000 3.471460 0.906086
-8.000000 3.487168 0.898423
-8.000000 3.502876 0.890667
-8.000000 3.518584 0.882849
-8.000000 3.534292 0.875000
-8.000000 3.550000 0.867151
-8.000000 3.565708 0.859333
-8.000000 3.581416 0.851577
-8.000000 3.597124 0.843914
-8.000000 3.612832 0.836373
-8.000000 3.628540 0.828984
-8.000000 3.644247 0.821778
-8.000000 3.659955 0.814781
-8.000000 3.675663 0.808022
-8.000000 3.691371 0.801527
-8.000000 3.707079 0.795322
-8.000000 3.722787 0.789432
-8.000000 3.738495 0.783879
-8.000000 3.754203 0.778686
-8.000000 3.769911 0.773873
-8.000000 3.785619 0.769459
-8.000000 3.801327 0.765462
-8.000000 3.817035 0.761897
-8.000000 3.832743 0.758778
-8.000000 3.848451 0.756118
-8.000000 3.864159 0.753927
-8.000000 3.879867 0.752214
-8.000000 3.895575 0.750986
-8.000000 3.911283 0.750247
-8.000000 3.926991 0.750000
-8.000000 3.942699 0.750247
-8.000000 3.958407 0.750986
-8.000000 3.974115 0.752214
-8.000000 3.989823 0.753927
-8.000000 4.005531 0.756118
-8.000000 4.021239 0.758778
-8.000000 4.036947 0.761897
-8.000000 4.052655 0.765462
-8.000000 4.068362 0.769459
-8.000000 4.084070 0.773873
-8.000000 4.099778 0.778686
-8.000000 4.115486 0.783879
-8.000000 4.131194 0.789432
-8.000000 4.146902 0.795322
-8.000000 4.162610 0.801527
-8.000000 4.178318 0.808022
-8.000000 4.194026 0.814781
-8.000000 4.209734 0.821778
-8.000000 4.225442 0.828984
-8.000000 4.241150 0.836373
-8.000000 4.256858 0.843914
-8.000000 4.272566 0.851577
-8.000000 4.288274 0.859333
-8.000000 4.303982 0.867151
-8.000000 4.319690 0.875000
-8.000000 4.335398 0.882849
-8.000000 4.351106 0.890667
-8.000000 4.366814 0.898423
-8.000000 4.382522 0.906086
-8.000000 4.398230 0.913627
-8.000000 4.413938 0.921016
-8.000000 4.429646 0.928222
-8.000000 4.445354 0.935219
-8.000000 4.461062 0.941978
-8.000000 4.476770 0.948473
-8.000000 4.492477 0.954678
-8.000000 4.508185 0.960568
-8.000000 4.523893 0.966121
-8.000000 4.539601 0.971314
-8.000000 4.555309 0.976127
-8.000000 4.571017 0.980541
-8.000000 4.586725 0.984538
-8.000000 4.602433 0.988103
-8.000000 4.618141 0.991222
-8.000000 4.633849 0.993882
-8.000000 4.649557 0.996073
-8.000000 4.665265 0.997786
-8.000000 4.680973 0.999014
-8.000000 4.696681 0.999753
-8.000000 4.712389 1.000000
-8.000000 4.728097 0.999753
-8.000000 4.743805 0.999014
-8.000000 4.759513 0.997786
-8.000000 4.775221 0.996073
-8.000000 4.790929 0.993882
-8.000000 4.806637 0.991222
-8.000000 4.822345 0.988103
-8.000000 4.838053 0.984538
-8.000000 4.853761 0.980541
-8.000000 4.869469 0.976127
-8.000000 4.885177 0.971314
-8.000000 4.900885 0.966121
-8.000000 4.916593 0.960568
-8.000000 4.932300 0.954678
-8.000000 4.948008 0.948473
-8.000000 4.963716 0.941978
