1 0m4.526s 4.5
2 0m5.837s 5.8
3 0m7.740s 7.7
4 0m11.007s 11.0
5 0m14.504s 14.5
6 0m19.414s 19.4
7 0m25.038s 25.0
8 0m32.095s 32.0 
9 0m39.935s 40.0
10 0m49.046s 49.0
11 0m58.971s 59.0
12 1m13.418s 73
13 1m26.641s 87
14 1m41.139s 101
15 1m53.875s 113
16 2m7.119s 127
17 2m28.026s 148
18 2m51.721s 171
19 3m13.943s 193
20 3m36.153s 216
21 4m4.048s 244
22 4m28.248s 268
23 4m56.955s 300
