           1  0.99999999999999978     
           2   1.9154644509730045E-016
           3   3.0435165990879182E-017
           4   2.9267280018878140E-017
           5   2.6668824186375407E-017
           6   2.4965340757906853E-017
           7   2.3116087011896200E-017
           8   2.1524570446853692E-017
           9   1.9602041925847702E-017
          10   1.8362850223959351E-017
           1  0.99999999999999978     
           2   2.2328574131271380E-016
           3   3.0282044823741835E-017
           4   2.9673478862871684E-017
           5   2.7718324210521463E-017
           6   2.4948397391917171E-017
           7   2.3688321027087913E-017
           8   2.1654201530523800E-017
           9   1.9695198565692128E-017
          10   1.8774588232194257E-017
