           1           1  -3.6175279153362906E-009
           1           2  -6.5586895480716225E-009
           1           3  -1.1772788616399161E-008
           1           4  -2.0921782037109020E-008
           1           5  -3.6810783015780414E-008
           1           6  -6.4122211616813198E-008
           1           7  -1.1058570365087170E-007
           1           8  -1.8881936531712569E-007
           1           9  -3.1919136684565823E-007
           1          10  -5.3421096099427243E-007
           1          11  -8.8517982723898494E-007
           1          12  -1.4521359478343720E-006
           1          13  -2.3585229159169091E-006
           1          14  -3.7925383338899552E-006
           1          15  -6.0377748394510441E-006
           1          16  -9.5165799946950495E-006
           1          17  -1.4850529779578918E-005
           1          18  -2.2943519915306164E-005
           1          19  -3.5094188255808206E-005
           1          20  -5.3145611862934403E-005
           1          21  -7.9681348733144072E-005
           1          22  -1.1827773437073544E-004
           1          23  -1.7382265233884436E-004
           1          24  -2.5291046681918321E-004
           1          25  -3.6432107026059159E-004
           1          26  -5.1958766235278033E-004
           1          27  -7.3365254162580931E-004
           1          28  -1.0256025166598269E-003
           1          29  -1.4194653136521860E-003
           1          30  -1.9450355626124041E-003
           1          31  -2.6386838759762670E-003
           1          32  -3.5440858660641976E-003
           1          33  -4.7127908090941820E-003
           1          34  -6.2045336644066928E-003
           1          35  -8.0871813684473583E-003
           1          36  -1.0436197177019622E-002
           1          37  -1.3333507942168954E-002
           1          38  -1.6865671114019178E-002
           1          39  -2.1121263059907185E-002
           1          40  -2.6187449283775747E-002
           1          41  -3.2145750383286764E-002
           1          42  -3.9067083609764908E-002
           1          43  -4.7006235401279614E-002
           1          44  -5.5996000078964270E-002
           1          45  -6.6041297168492982E-002
           1          46  -7.7113646400500238E-002
           1          47  -8.9146426646634525E-002
           1          48 -0.10203136449054948     
           1          49 -0.11561668283676371     
           1          50 -0.12970728541474472     
           1          51 -0.14406725815059282     
           1          52 -0.15842483615903771     
           1          53 -0.17247982291524203     
           1          54 -0.18591326746772732     
           1          55 -0.19839902113093746     
           1          56 -0.20961662373669709     
           1          57 -0.21926482832858812     
           1          58 -0.22707497766365195     
           1          59 -0.23282340809128937     
           1          60 -0.23634208330182505     
           1          61 -0.23752675292432987     
           1          62 -0.23634208330182527     
           1          63 -0.23282340809128979     
           1          64 -0.22707497766365253     
           1          65 -0.21926482832858893     
           1          66 -0.20961662373669809     
           1          67 -0.19839902113093852     
           1          68 -0.18591326746772852     
           1          69 -0.17247982291524327     
           1          70 -0.15842483615903902     
           1          71 -0.14406725815059412     
           1          72 -0.12970728541474602     
           1          73 -0.11561668283676496     
           1          74 -0.10203136449055068     
           1          75  -8.9146426646635649E-002
           1          76  -7.7113646400501279E-002
           1          77  -6.6041297168493940E-002
           1          78  -5.5996000078965130E-002
           1          79  -4.7006235401280384E-002
           1          80  -3.9067083609765588E-002
           1          81  -3.2145750383287340E-002
           1          82  -2.6187449283776261E-002
           1          83  -2.1121263059907615E-002
           1          84  -1.6865671114019539E-002
           1          85  -1.3333507942169250E-002
           1          86  -1.0436197177019867E-002
           1          87  -8.0871813684475560E-003
           1          88  -6.2045336644068498E-003
           1          89  -4.7127908090943043E-003
           1          90  -3.5440858660642951E-003
           1          91  -2.6386838759763398E-003
           1          92  -1.9450355626124596E-003
           1          93  -1.4194653136522289E-003
           1          94  -1.0256025166598588E-003
           1          95  -7.3365254162583284E-004
           1          96  -5.1958766235279692E-004
           1          97  -3.6432107026060384E-004
           1          98  -2.5291046681919199E-004
           1          99  -1.7382265233885054E-004
           1         100  -1.1827773437073974E-004
           1         101  -7.9681348733147040E-005
           1         102  -5.3145611862936389E-005
           1         103  -3.5094188255809514E-005
           1         104  -2.2943519915307022E-005
           1         105  -1.4850529779579501E-005
           1         106  -9.5165799946954358E-006
           1         107  -6.0377748394512906E-006
           1         108  -3.7925383338901106E-006
           1         109  -2.3585229159170095E-006
           1         110  -1.4521359478344339E-006
           1         111  -8.8517982723902422E-007
           1         112  -5.3421096099429710E-007
           1         113  -3.1919136684567300E-007
           1         114  -1.8881936531713442E-007
           1         115  -1.1058570365087699E-007
           1         116  -6.4122211616816388E-008
           1         117  -3.6810783015782240E-008
           1         118  -2.0921782037110059E-008
           1         119  -1.1772788616399747E-008
           1         120  -6.5586895480719484E-009
